numero_processo,data_deposito,data_publicacao_bpi,classe_nice,requerente,marca,status,codigo_status,observacoes,proxima_acao,prazo_limite,prazo_oposicao
47471/2023,09/03/2023,15/06/2023,29,"ZHIZHA, LIMITADA",29,PUBLICADO,STATUS_01,Sorvete,Aguardar próximo BPI,15/07/2023,15/07/2023
47520/2023,15/03/2023,15/06/2023,16,"RIM TRADING E INDÚSTRIA, LDA",SHOCOLATA,PUBLICADO,STATUS_01,"Papel higienico, guardanapos",Aguardar próximo BPI,15/07/2023,15/07/2023
47649/2023,06/04/2023,15/06/2023,35,"CASA BAKALI, EI",ANIGO,PUBLICADO,STATUS_01,Venda de take away (descartáveis),Aguardar próximo BPI,06/07/2023,06/07/2023
47669/2023,11/04/2023,15/06/2023,39,"ASAMOC-TRANSPORTES DE MOÇAMBIQUE, S.A.",ANIGO,PUBLICADO,STATUS_01,Transporte; transporte de mercadorias,Aguardar próximo BPI,11/07/2023,11/07/2023
47761/2023,21/04/2023,15/06/2023,36,"DUMBA MICROBANCO, SA",,PUBLICADO,STATUS_01,Serviços financeiros. Cores: Laranja e branco,Aguardar próximo BPI,21/07/2023,21/07/2023
47837/2023,02/05/2023,15/06/2023,42,"MATCOM ENTERPRISE SOCIEDADE UNIPESSOAL, LDA",,PUBLICADO,STATUS_01,Serviços científicos e tecnológicos,Aguardar próximo BPI,02/07/2023,02/07/2023
47838/2023,02/05/2023,15/06/2023,21,"PRIME CARE INDUSTRIES, LDA",,PUBLICADO,STATUS_01,Utensílios e recipientes doméstico,Aguardar próximo BPI,02/07/2023,02/07/2023
47839/2023,03/05/2023,15/06/2023,11,"HENG TAI, LDA",,PUBLICADO,STATUS_01,"Aparelhos de iluminação, aquecimento",Aguardar próximo BPI,03/07/2023,03/07/2023
47840/2023,03/05/2023,15/06/2023,11,"HENG TAI, LDA",,PUBLICADO,STATUS_01,"Aparelhos de iluminação, aquecimento",Aguardar próximo BPI,03/07/2023,03/07/2023
47841/2023,03/05/2023,15/06/2023,45,ASSOCIAÇÃO RENASCER MOÇAMBIQUE,,PUBLICADO,STATUS_01,Serviços pessoais e sociais,Aguardar próximo BPI,03/07/2023,03/07/2023
