Processo,Marca,Classe,Pagina_BPI,ID_Requerente
44749,32,0,40,REQ001
46500,29,0,40,REQ002
47124,09,0,40,REQ003
47134,35,0,40,REQ002
47170,35,0,40,REQ004
47189,35,0,40,REQ005
47235,07,0,40,REQ002
47265,35,0,40,REQ005
47276,42,0,40,REQ002
47282,03,0,40,REQ002
47283,03,0,40,REQ002
47284,03,0,40,REQ002
47285,03,0,40,REQ002
47286,03,0,40,REQ002
47296,32,0,40,REQ006
47317,30,0,40,REQ002
47334,35,0,40,REQ007
47337,09,0,40,REQ002
47338,20,0,40,REQ002
47339,21,0,40,REQ002
47340,25,0,40,REQ002
47341,29,0,40,REQ002
47342,30,0,40,REQ002
47358,09,0,40,REQ002
47359,20,0,40,REQ002
47360,21,0,40,REQ002
47361,25,0,40,REQ002
47362,20,0,40,REQ002
47363,29,0,40,REQ002
47364,30,0,40,REQ002
47365,21,0,40,REQ002
47366,32,0,40,REQ002
47367,25,0,40,REQ002
47368,35,0,40,REQ002
47369,36,0,40,REQ002
47374,35,0,40,REQ002
47378,41,0,40,REQ008
47379,41,0,40,REQ002
47601,35,0,45,REQ009
47602,41,0,45,REQ002
47603,31,0,45,REQ002
47606,41,0,45,REQ007
47608,09,0,45,REQ010
47609,11,0,45,REQ010
47610,35,0,45,REQ011
47611,30,0,45,REQ011
47612,35,0,45,REQ007
47613,32,0,45,REQ007
47617,35,0,45,REQ007
47618,35,0,45,REQ007
47619,35,0,45,REQ007
47622,30,0,45,REQ012
47629,29,0,45,REQ002
47633,28,0,45,REQ013
46551,39,0,45,REQ014
46552,40,0,45,REQ014
19798,/2011,0,46,REQ002
19799,/2011,0,46,REQ002
19800,/2011,0,46,REQ002
19801,/2011,0,46,REQ002
19802,/2011,0,46,REQ002
19803,/2011,0,46,REQ002
23085,/2013,0,46,REQ015
23168,/2013,0,46,REQ016
23218,/2013,0,46,REQ017
23442,/2013,0,46,REQ002
23446,/2013,0,46,REQ002
23481,/2013,0,46,REQ018
23482,/2013,0,46,REQ018
23483,/2013,0,46,REQ018
23484,/2013,0,46,REQ018
23485,/2013,0,46,REQ018
23486,/2013,0,46,REQ018
23597,/2013,0,46,REQ002
23598,/2013,0,46,REQ002
23600,/2013,0,46,REQ002
23739,/2013,0,47,REQ002
23867,/2013,0,47,REQ019
23869,/2013,0,47,REQ002
23738,/2013,0,47,REQ002
23754,/2013,0,47,REQ002
23799,/2013,0,47,REQ002
23820,/2013,0,47,REQ002
23881,/2013,0,47,REQ002
23913,/2013,0,47,REQ002
23914,/2013,0,47,REQ002
23920,/2013,0,47,REQ020
23921,/2013,0,47,REQ020
23934,/2013,0,47,REQ002
23945,/2013,0,47,REQ002
23946,/2013,0,47,REQ002
23947,/2013,0,47,REQ002
23948,/2013,0,47,REQ002
23949,/2013,0,47,REQ002
23950,/2013,0,47,REQ002
24000,/2013,0,47,REQ002
24019,/2013,0,47,REQ021
24043,/2013,0,47,REQ002
24047,/2013,0,47,REQ002
24175,/2013,0,47,REQ002
24265,/2013,0,47,REQ002
24274,/2013,0,47,REQ002
