ID_Requerente,Nome_Requerente,Pagina_Referencia
REQ001,"Yaafico Industrial, Lda",40
REQ002,Desconhecido,40
REQ003,"Irmãos - Soni, Lda",40
REQ004,"Numa Goods & Services, Lda",40
REQ005,"Unipessoal, Lda",40
REQ006,"Prestige Beverages, Limitada",40
REQ007,"Sociedade Unipessoal, Lda",40
REQ008,"Elite Garden Soc. Unip, Lda",40
REQ009,"ACE Health Care, Limitada",45
REQ010,"Flex Investimentos, Limitada",45
REQ011,"Unibasma, Lda",45
REQ012,"Unipessoal, Limitada",45
REQ013,"Games, Lda",45
REQ014,"Moçambique, Lda",45
REQ015,"Development, Lda",46
REQ016,"Rajan Export (Mozambique), Lda",46
REQ017,Rajan Export (Mozambique) Lda,46
REQ018,Mercatto Limitada,46
REQ019,Company,47
REQ020,The Gillette Company LLC,47
REQ021,"Abro Industries, Inc.",47
REQ022,Saatchi & Saatchi Holdings Limited,47
REQ023,Multichoice Africa Holdings B.V.,47
REQ024,Stefanutti Stocks Holdings,49
REQ025,"Soc. Uni., Lda",49
REQ026,Lda,49
REQ027,"R.G.L - Royal Group, Lda",49
REQ028,"Marin Trading, Limitada",49
REQ029,"Multimédia, Limitada",51
REQ030,"(moç),lda",51
REQ031,"Pêlo & Peso Portugal, Limitada",51
REQ032,"Mafer Comercial, Lda",51
REQ033,"Transac, lda",51
REQ034,"Kids Kruppa, Lda",51
REQ035,"Terex Bicycle, lda",53
REQ036,Nduna Moçambique limitada,53
REQ037,Mirage limitada,53
REQ038,"Serviços, Lda",55
REQ039,serviços lda,55
REQ040,Limitada,55
REQ041,"Unipesoal, Lda",55
REQ042,"Empreendimentos, Lda",56
REQ043,S.A.,56
REQ044,Chocolates Garoto S.A.,56
REQ045,"Mistolin, S.A.",56
REQ046,"Fixtape, Lda",57
REQ047,Terex  Bicyde Lda.,58
REQ048,"Camilo Pinto, S.A.",58
REQ049,"Glintt- Business solutions, lda",58
REQ050,"Dhow, Limitada",58
REQ051,Feira África Limitada,58
REQ052,"Louren Stationary, lda",58
REQ053,Agro Nacala Limitada,63
REQ054,Agua Viva limitada,63
REQ055,"Fábrica de Explosivos (moç),lda",64
REQ056,"Gold Choice Representações, Lda",64
REQ057,"Global Africa Trading, Limitada",68
REQ058,"Ibrahim Hassam, Limitada",69
REQ059,"Lusosem Moçambique, Limitada",70
REQ060,"MD Consultores - Agência Privada de Emprego, Lda",76
REQ061,PARA: Total S.A.,77
REQ062,DE: Total S.A.,77
REQ063,Moz Investimentos & Serviços Lda,83
REQ064,"Indústrias Maknaz, Limitada",85
REQ065,"JF Serviços, Lda",88
REQ066,American - Cigarette Company (Overseas) Limited,88
REQ067,"Motion Mozambique, Lda",91
REQ068,EcoFlow Inc.,115
